"coc.number","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","coc.state","sample","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total"
"fl-511",2014,1034,64,0,319,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-511",2015,998,123,0,320,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-511",2016,1063,78,0,351,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-511",2017,1190,21,10,358,0,11,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-511",2018,1037,178,32,311,0,3,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-512",2014,400,16,0,108,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-512",2015,448,25,0,92,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-512",2016,329,0,0,92,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-512",2017,232,10,0,96,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-512",2018,233,7,0,95,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-513",2014,1043,97,0,146,106,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-513",2015,1156,0,0,122,40,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-513",2016,1198,0,0,97,40,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-513",2017,1032,0,0,132,40,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-513",2018,1234,0,14,81,16,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-514",2014,478,0,0,203,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-514",2015,546,0,0,218,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-514",2016,584,8,0,246,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-514",2017,411,147,12,202,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-514",2018,403,123,0,193,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-515",2014,261,0,0,49,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-515",2015,298,16,0,88,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-515",2016,387,13,0,88,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-515",2017,229,0,0,95,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-515",2018,241,0,0,64,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-517",2014,298,34,0,129,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-517",2015,332,0,0,129,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-517",2016,377,0,0,86,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-517",2017,244,0,480,48,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-517",2018,291,0,0,41,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-518",2014,118,15,23,76,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-518",2015,157,3,20,62,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-518",2016,232,0,0,79,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-518",2017,291,0,14,87,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-518",2018,284,0,14,87,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-519",2014,324,27,0,85,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-519",2015,465,12,6,115,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-519",2016,590,0,0,134,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-519",2017,536,0,0,107,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-519",2018,701,0,0,182,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-520",2014,414,51,0,227,18,16,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-520",2015,426,3,14,231,15,1,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-520",2016,505,41,3,257,0,4,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-520",2017,479,70,0,234,2,7,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-520",2018,513,287,0,251,0,140,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-600",2014,7436,563,356,1874,0,222,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-600",2015,7995,208,311,1700,0,158,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-600",2016,8516,102,251,1820,0,249,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-600",2017,8276,465,76,2023,0,9,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-600",2018,8578,54,25,1716,0,204,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-601",2014,4528,25,66,851,431,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-601",2015,4387,333,67,904,48,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-601",2016,4066,68,70,968,20,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-601",2017,4034,126,129,932,26,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-601",2018,4464,455,0,916,26,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-602",2014,333,0,0,72,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-602",2015,299,0,0,74,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-602",2016,299,0,0,66,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-602",2017,221,185,0,66,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-602",2018,195,51,0,78,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-603",2014,834,0,0,283,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-603",2015,794,0,0,254,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-603",2016,1009,0,0,249,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-603",2017,984,0,0,231,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-603",2018,1251,0,0,231,0,257,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-604",2014,630,0,0,268,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-604",2015,637,0,0,268,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-604",2016,601,0,0,247,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-604",2017,551,63,0,251,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-604",2018,1016,39,0,252,0,478,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-605",2014,1916,596,0,319,0,50,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-605",2015,1671,532,0,304,0,111,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-605",2016,1702,379,11,326,0,106,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-605",2017,1728,416,15,337,0,66,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-605",2018,1667,651,0,329,25,64,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-606",2014,482,8,23,280,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-606",2015,366,72,0,227,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-606",2016,452,0,0,244,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-606",2017,470,0,0,244,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-606",2018,544,0,0,254,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"ga-500",2014,5606,281,90,2334,0,7,"ga","hic extra",NA,NA,NA,NA,NA,NA
"ga-500",2015,6191,159,0,1902,0,38,"ga","hic extra",NA,NA,NA,NA,NA,NA
"ga-500",2016,6421,154,0,1930,0,38,"ga","hic extra",NA,NA,NA,NA,NA,NA
